Date,ALUA.BA Close,BBAR.BA Close,BMA.BA Close,BYMA.BA Close,CEPU.BA Close,COME.BA Close,CRES.BA Close,CVH.BA Close,EDN.BA Close,GGAL.BA Close,LOMA.BA Close,MIRG.BA Close,PAMP.BA Close,SUPV.BA Close,TECO2.BA Close,TGNO4.BA Close,TGSU2.BA Close,TRAN.BA Close,TXAR.BA Close,VALO.BA Close,YPFD.BA Close
2021-07-06,59.0,142.05,195.0,74.5,42.3,5.0,110.1,356.5,37.8,144.9,239.9,1965.0,105.0,69.9,175.7,56.1,157.1,31.45,13.85,26.45,767.9
2021-07-07,58.7,142.05,192.96,74.5,42.2,4.88,109.15,346.5,37.4,145.8,241.7,1960.0,107.9,69.4,175.0,56.1,157.75,30.7,13.85,26.3,767.9
2021-07-08,57.8,142.05,189.06,74.2,40.45,4.81,113.1,350.5,36.6,142.35,240.3,1953.0,108.75,67.15,173.75,54.1,154.95,30.8,13.85,25.75,744.8
2021-07-12,58.2,142.05,197.89,74.95,41.5,4.84,113.15,352.0,37.95,148.15,252.6,1965.5,112.8,70.5,177.05,56.0,164.4,32.0,13.85,25.85,788.8
2021-07-13,58.4,142.05,199.24,75.4,41.95,4.71,114.95,353.5,38.35,147.9,248.55,1965.0,113.15,71.5,174.45,56.4,164.35,32.75,13.85,25.6,793.6
2021-07-14,57.8,142.05,198.28,75.7,41.95,4.55,112.5,346.5,38.7,147.85,256.95,1958.5,108.65,70.85,175.0,55.8,157.2,33.2,13.85,25.6,779.5
2021-07-15,57.2,142.05,193.38,75.0,41.3,4.39,111.65,350.0,38.0,144.85,264.65,1961.5,107.6,70.0,176.05,55.1,158.1,33.3,13.85,25.4,764.45
2021-07-16,57.2,142.05,191.45,75.7,40.7,4.23,110.2,351.5,37.5,142.85,258.6,1956.5,110.25,68.6,178.35,54.9,156.5,33.0,13.85,25.5,744.0
2021-07-19,55.5,142.05,191.37,76.75,40.7,4.07,102.95,363.0,36.9,140.4,255.95,1924.0,109.1,68.1,176.1,54.7,154.8,32.55,13.85,25.2,736.7
2021-07-20,57.1,142.05,190.87,76.9,40.6,4.39,108.3,361.5,37.4,142.7,264.9,1939.5,114.95,69.25,178.95,55.3,161.5,33.3,13.85,25.5,747.35
